d_date_sk|d_date
2415203|1900-07-02
2415204|1900-07-03
2415205|1900-07-04
2415206|1900-07-05
2415207|1900-07-06
2415208|1900-07-07
2415209|1900-07-08
2415210|1900-07-09
2415211|1900-07-10
2415212|1900-07-11
2415213|1900-07-12
2415214|1900-07-13
2415215|1900-07-14
2415216|1900-07-15
2415217|1900-07-16
2415218|1900-07-17
2415219|1900-07-18
2415220|1900-07-19
2415221|1900-07-20
2415222|1900-07-21
2415223|1900-07-22
2415224|1900-07-23
2415225|1900-07-24
2415226|1900-07-25
2415227|1900-07-26
2415228|1900-07-27
2415229|1900-07-28
2415230|1900-07-29
2415231|1900-07-30
2415232|1900-07-31
2415233|1900-08-01
2415234|1900-08-02
2415235|1900-08-03
2415236|1900-08-04
2415237|1900-08-05
2415238|1900-08-06
2415239|1900-08-07
2415240|1900-08-08
2415241|1900-08-09
2415242|1900-08-10
2415243|1900-08-11
2415244|1900-08-12
2415245|1900-08-13
2415246|1900-08-14
2415247|1900-08-15
2415248|1900-08-16
2415249|1900-08-17
2415250|1900-08-18
2415251|1900-08-19
2415252|1900-08-20
2415253|1900-08-21
2415254|1900-08-22
2415255|1900-08-23
2415256|1900-08-24
2415257|1900-08-25
2415258|1900-08-26
2415259|1900-08-27
2415260|1900-08-28
2415261|1900-08-29
2415262|1900-08-30
2415263|1900-08-31
2415264|1900-09-01
2415265|1900-09-02
2415266|1900-09-03
2415267|1900-09-04
2415268|1900-09-05
2415269|1900-09-06
2415270|1900-09-07
2415271|1900-09-08
2415272|1900-09-09
2415273|1900-09-10
2415274|1900-09-11
2415275|1900-09-12
2415276|1900-09-13
2415277|1900-09-14
2415278|1900-09-15
2415279|1900-09-16
2415280|1900-09-17
2415281|1900-09-18
2415282|1900-09-19
2415283|1900-09-20
2415284|1900-09-21
2415285|1900-09-22
2415286|1900-09-23
2415287|1900-09-24
2415288|1900-09-25
2415289|1900-09-26
2415290|1900-09-27
2415291|1900-09-28
2415292|1900-09-29
2415293|1900-09-30
2415294|1900-10-01
2415295|1900-10-02
2415296|1900-10-03
2415297|1900-10-04
2415298|1900-10-05
2415299|1900-10-06
2415300|1900-10-07
2415301|1900-10-08
2415302|1900-10-09
2415303|1900-10-10
2415304|1900-10-11
2415305|1900-10-12
2415306|1900-10-13
2415307|1900-10-14
2415308|1900-10-15
2415309|1900-10-16
2415310|1900-10-17
2415311|1900-10-18
2415312|1900-10-19
2415313|1900-10-20
2415314|1900-10-21
2415315|1900-10-22
2415316|1900-10-23
2415317|1900-10-24
2415318|1900-10-25
2415319|1900-10-26
2415320|1900-10-27
2415321|1900-10-28
2415322|1900-10-29
2415323|1900-10-30
2415324|1900-10-31
2415325|1900-11-01
2415326|1900-11-02
2415327|1900-11-03
2415328|1900-11-04
2415329|1900-11-05
2415330|1900-11-06
2415331|1900-11-07
2415332|1900-11-08
2415333|1900-11-09
2415334|1900-11-10
2415335|1900-11-11
2415336|1900-11-12
2415337|1900-11-13
2415338|1900-11-14
2415339|1900-11-15
2415340|1900-11-16
2415341|1900-11-17
2415342|1900-11-18
2415343|1900-11-19
2415344|1900-11-20
2415345|1900-11-21
2415346|1900-11-22
2415347|1900-11-23
2415348|1900-11-24
2415349|1900-11-25
2415350|1900-11-26
2415351|1900-11-27
2415352|1900-11-28
2415353|1900-11-29
2415354|1900-11-30
2415355|1900-12-01
2415356|1900-12-02
2415357|1900-12-03
2415358|1900-12-04
2415359|1900-12-05
2415360|1900-12-06
2415361|1900-12-07
2415362|1900-12-08
2415363|1900-12-09
2415364|1900-12-10
2415365|1900-12-11
2415366|1900-12-12
2415367|1900-12-13
2415368|1900-12-14
2415369|1900-12-15
2415370|1900-12-16
2415371|1900-12-17
2415372|1900-12-18
2415373|1900-12-19
2415374|1900-12-20
2415375|1900-12-21
2415376|1900-12-22
2415377|1900-12-23
2415378|1900-12-24
2415379|1900-12-25
2415380|1900-12-26
2415381|1900-12-27
2415382|1900-12-28
2415383|1900-12-29
2415384|1900-12-30
2415385|1900-12-31
2415386|1901-01-01
2415387|1901-01-02
2415388|1901-01-03
2415389|1901-01-04
2415390|1901-01-05
2415391|1901-01-06
2415392|1901-01-07
2415393|1901-01-08
2415394|1901-01-09
2415395|1901-01-10
2415396|1901-01-11
2415397|1901-01-12
2415398|1901-01-13
2415399|1901-01-14
2415400|1901-01-15
2415401|1901-01-16
2415402|1901-01-17
2415403|1901-01-18
2415404|1901-01-19
2415405|1901-01-20
2415406|1901-01-21
2415407|1901-01-22
2415408|1901-01-23
2415409|1901-01-24
2415410|1901-01-25
2415411|1901-01-26
2415412|1901-01-27
2415413|1901-01-28
2415414|1901-01-29
2415415|1901-01-30
2415416|1901-01-31
2415417|1901-02-01
2415418|1901-02-02
2415419|1901-02-03
2415420|1901-02-04
2415421|1901-02-05
2415422|1901-02-06
2415423|1901-02-07
2415424|1901-02-08
2415425|1901-02-09
2415426|1901-02-10
2415427|1901-02-11
2415428|1901-02-12
2415429|1901-02-13
2415430|1901-02-14
2415431|1901-02-15
2415432|1901-02-16
2415433|1901-02-17
2415434|1901-02-18
2415435|1901-02-19
2415436|1901-02-20
2415437|1901-02-21
2415438|1901-02-22
2415439|1901-02-23
2415440|1901-02-24
2415441|1901-02-25
2415442|1901-02-26
2415443|1901-02-27
2415444|1901-02-28
2415445|1901-03-01
2415446|1901-03-02
2415447|1901-03-03
2415448|1901-03-04
2415449|1901-03-05
2415450|1901-03-06
2415451|1901-03-07
2415452|1901-03-08
2415453|1901-03-09
2415454|1901-03-10
2415455|1901-03-11
2415456|1901-03-12
2415457|1901-03-13
2415458|1901-03-14
2415459|1901-03-15
2415460|1901-03-16
2415461|1901-03-17
2415462|1901-03-18
2415463|1901-03-19
2415464|1901-03-20
2415465|1901-03-21
2415466|1901-03-22
2415467|1901-03-23
2415468|1901-03-24
2415469|1901-03-25
2415470|1901-03-26
2415471|1901-03-27
2415472|1901-03-28
2415473|1901-03-29
2415474|1901-03-30
2415475|1901-03-31
2415476|1901-04-01
2415477|1901-04-02
2415478|1901-04-03
2415479|1901-04-04
2415480|1901-04-05
2415481|1901-04-06
2415482|1901-04-07
2415483|1901-04-08
2415484|1901-04-09
2415485|1901-04-10
2415486|1901-04-11
2415487|1901-04-12
2415488|1901-04-13
2415489|1901-04-14
2415490|1901-04-15
2415491|1901-04-16
2415492|1901-04-17
2415493|1901-04-18
2415494|1901-04-19
2415495|1901-04-20
2415496|1901-04-21
2415497|1901-04-22
2415498|1901-04-23
2415499|1901-04-24
2415500|1901-04-25
2415501|1901-04-26
2415502|1901-04-27
2415503|1901-04-28
2415504|1901-04-29
2415505|1901-04-30
2415506|1901-05-01
2415507|1901-05-02
2415508|1901-05-03
2415509|1901-05-04
2415510|1901-05-05
2415511|1901-05-06
2415512|1901-05-07
2415513|1901-05-08
2415514|1901-05-09
2415515|1901-05-10
2415516|1901-05-11
2415517|1901-05-12
2415518|1901-05-13
2415519|1901-05-14
2415520|1901-05-15
2415521|1901-05-16
2415522|1901-05-17
2415523|1901-05-18
2415524|1901-05-19
2415525|1901-05-20
2415526|1901-05-21
2415527|1901-05-22
2415528|1901-05-23
2415529|1901-05-24
2415530|1901-05-25
2415531|1901-05-26
2415532|1901-05-27
2415533|1901-05-28
2415534|1901-05-29
2415535|1901-05-30
2415536|1901-05-31
2415537|1901-06-01
2415538|1901-06-02
2415539|1901-06-03
2415540|1901-06-04
2415541|1901-06-05
2415542|1901-06-06
2415543|1901-06-07
2415544|1901-06-08
2415545|1901-06-09
2415546|1901-06-10
2415547|1901-06-11
2415548|1901-06-12
2415549|1901-06-13
2415550|1901-06-14
2415551|1901-06-15
2415552|1901-06-16
2415553|1901-06-17
2415554|1901-06-18
2415555|1901-06-19
2415556|1901-06-20
2415557|1901-06-21
2415558|1901-06-22
2415559|1901-06-23
2415560|1901-06-24
2415561|1901-06-25
2415562|1901-06-26
2415563|1901-06-27
2415564|1901-06-28
2415565|1901-06-29
2415566|1901-06-30
2415567|1901-07-01
2415568|1901-07-02
2415569|1901-07-03
2415570|1901-07-04
2415571|1901-07-05
2415572|1901-07-06
2415573|1901-07-07
2415574|1901-07-08
2415575|1901-07-09
2415576|1901-07-10
2415577|1901-07-11
2415578|1901-07-12
2415579|1901-07-13
2415580|1901-07-14
2415581|1901-07-15
2415582|1901-07-16
2415583|1901-07-17
2415584|1901-07-18
2415585|1901-07-19
2415586|1901-07-20
2415587|1901-07-21
2415588|1901-07-22
2415589|1901-07-23
2415590|1901-07-24
2415591|1901-07-25
2415592|1901-07-26
2415593|1901-07-27
2415594|1901-07-28
2415595|1901-07-29
2415596|1901-07-30
2415597|1901-07-31
2415598|1901-08-01
2415599|1901-08-02
2415600|1901-08-03
2415601|1901-08-04
2415602|1901-08-05
2415603|1901-08-06
2415604|1901-08-07
2415605|1901-08-08
2415606|1901-08-09
2415607|1901-08-10
2415608|1901-08-11
2415609|1901-08-12
2415610|1901-08-13
2415611|1901-08-14
2415612|1901-08-15
2415613|1901-08-16
2415614|1901-08-17
2415615|1901-08-18
2415616|1901-08-19
2415617|1901-08-20
2415618|1901-08-21
2415619|1901-08-22
2415620|1901-08-23
2415621|1901-08-24
2415622|1901-08-25
2415623|1901-08-26
2415624|1901-08-27
2415625|1901-08-28
2415626|1901-08-29
2415627|1901-08-30
2415628|1901-08-31
2415629|1901-09-01
2415630|1901-09-02
2415631|1901-09-03
2415632|1901-09-04
2415633|1901-09-05
2415634|1901-09-06
2415635|1901-09-07
2415636|1901-09-08
2415637|1901-09-09
2415638|1901-09-10
2415639|1901-09-11
2415640|1901-09-12
2415641|1901-09-13
2415642|1901-09-14
2415643|1901-09-15
2415644|1901-09-16
2415645|1901-09-17
2415646|1901-09-18
2415647|1901-09-19
2415648|1901-09-20
2415649|1901-09-21
2415650|1901-09-22
2415651|1901-09-23
2415652|1901-09-24
2415653|1901-09-25
2415654|1901-09-26
2415655|1901-09-27
2415656|1901-09-28
2415657|1901-09-29
2415658|1901-09-30
2415659|1901-10-01
2415660|1901-10-02
2415661|1901-10-03
2415662|1901-10-04
2415663|1901-10-05
2415664|1901-10-06
2415665|1901-10-07
2415666|1901-10-08
2415667|1901-10-09
2415668|1901-10-10
2415669|1901-10-11
2415670|1901-10-12
2415671|1901-10-13
2415672|1901-10-14
2415673|1901-10-15
2415674|1901-10-16
2415675|1901-10-17
2415676|1901-10-18
2415677|1901-10-19
2415678|1901-10-20
2415679|1901-10-21
2415680|1901-10-22
2415681|1901-10-23
2415682|1901-10-24
2415683|1901-10-25
2415684|1901-10-26
2415685|1901-10-27
2415686|1901-10-28
2415687|1901-10-29
2415688|1901-10-30
2415689|1901-10-31
2415690|1901-11-01
2415691|1901-11-02
2415692|1901-11-03
2415693|1901-11-04
2415694|1901-11-05
2415695|1901-11-06
2415696|1901-11-07
2415697|1901-11-08
2415698|1901-11-09
2415699|1901-11-10
2415700|1901-11-11
2415701|1901-11-12
2415702|1901-11-13
2415703|1901-11-14
2415704|1901-11-15
2415705|1901-11-16
2415706|1901-11-17
2415707|1901-11-18
2415708|1901-11-19
2415709|1901-11-20
2415710|1901-11-21
2415711|1901-11-22
2415712|1901-11-23
2415713|1901-11-24
2415714|1901-11-25
2415715|1901-11-26
2415716|1901-11-27
2415717|1901-11-28
2415718|1901-11-29
2415719|1901-11-30
2415720|1901-12-01
2415721|1901-12-02
2415722|1901-12-03
2415723|1901-12-04
2415724|1901-12-05
2415725|1901-12-06
2415726|1901-12-07
2415727|1901-12-08
2415728|1901-12-09
2415729|1901-12-10
2415730|1901-12-11
2415731|1901-12-12
2415732|1901-12-13
2415733|1901-12-14
2415734|1901-12-15
2415735|1901-12-16
2415736|1901-12-17
2415737|1901-12-18
2415738|1901-12-19
2415739|1901-12-20
2415740|1901-12-21
2415741|1901-12-22
2415742|1901-12-23
2415743|1901-12-24
2415744|1901-12-25
2415745|1901-12-26
2415746|1901-12-27
2415747|1901-12-28
2415748|1901-12-29
2415749|1901-12-30
2415750|1901-12-31
2415751|1902-01-01
2415752|1902-01-02
2415753|1902-01-03
2415754|1902-01-04
2415755|1902-01-05
2415756|1902-01-06
2415757|1902-01-07
2415758|1902-01-08
2415759|1902-01-09
2415760|1902-01-10
2415761|1902-01-11
2415762|1902-01-12
2415763|1902-01-13
2415764|1902-01-14
2415765|1902-01-15
2415766|1902-01-16
2415767|1902-01-17
2415768|1902-01-18
2415769|1902-01-19
2415770|1902-01-20
2415771|1902-01-21
2415772|1902-01-22
2415773|1902-01-23
2415774|1902-01-24
2415775|1902-01-25
2415776|1902-01-26
2415777|1902-01-27
2415778|1902-01-28
2415779|1902-01-29
2415780|1902-01-30
2415781|1902-01-31
2415782|1902-02-01
2415783|1902-02-02
2415784|1902-02-03
2415785|1902-02-04
2415786|1902-02-05
2415787|1902-02-06
2415788|1902-02-07
2415789|1902-02-08
2415790|1902-02-09
2415791|1902-02-10
2415792|1902-02-11
2415793|1902-02-12
2415794|1902-02-13
2415795|1902-02-14
2415796|1902-02-15
2415797|1902-02-16
2415798|1902-02-17
2415799|1902-02-18
2415800|1902-02-19
2415801|1902-02-20
2415802|1902-02-21
2415803|1902-02-22
2415804|1902-02-23
2415805|1902-02-24
2415806|1902-02-25
2415807|1902-02-26
2415808|1902-02-27
2415809|1902-02-28
2415810|1902-03-01
2415811|1902-03-02
2415812|1902-03-03
2415813|1902-03-04
2415814|1902-03-05
2415815|1902-03-06
2415816|1902-03-07
2415817|1902-03-08
2415818|1902-03-09
2415819|1902-03-10
2415820|1902-03-11
2415821|1902-03-12
2415822|1902-03-13
2415823|1902-03-14
2415824|1902-03-15
2415825|1902-03-16
2415826|1902-03-17
2415827|1902-03-18
2415828|1902-03-19
2415829|1902-03-20
2415830|1902-03-21
2415831|1902-03-22
2415832|1902-03-23
2415833|1902-03-24
2415834|1902-03-25
2415835|1902-03-26
2415836|1902-03-27
2415837|1902-03-28
2415838|1902-03-29
2415839|1902-03-30
2415840|1902-03-31
2415841|1902-04-01
2415842|1902-04-02
2415843|1902-04-03
2415844|1902-04-04
2415845|1902-04-05
2415846|1902-04-06
2415847|1902-04-07
2415848|1902-04-08
2415849|1902-04-09
2415850|1902-04-10
2415851|1902-04-11
2415852|1902-04-12
2415853|1902-04-13
2415854|1902-04-14
2415855|1902-04-15
2415856|1902-04-16
2415857|1902-04-17
2415858|1902-04-18
2415859|1902-04-19
2415860|1902-04-20
2415861|1902-04-21
2415862|1902-04-22
2415863|1902-04-23
2415864|1902-04-24
2415865|1902-04-25
2415866|1902-04-26
2415867|1902-04-27
2415868|1902-04-28
2415869|1902-04-29
2415870|1902-04-30
2415871|1902-05-01
2415872|1902-05-02
2415873|1902-05-03
2415874|1902-05-04
2415875|1902-05-05
2415876|1902-05-06
2415877|1902-05-07
2415878|1902-05-08
2415879|1902-05-09
2415880|1902-05-10
2415881|1902-05-11
2415882|1902-05-12
2415883|1902-05-13
2415884|1902-05-14
2415885|1902-05-15
2415886|1902-05-16
2415887|1902-05-17
2415888|1902-05-18
2415889|1902-05-19
2415890|1902-05-20
2415891|1902-05-21
2415892|1902-05-22
2415893|1902-05-23
2415894|1902-05-24
2415895|1902-05-25
2415896|1902-05-26
2415897|1902-05-27
2415898|1902-05-28
2415899|1902-05-29
2415900|1902-05-30
2415901|1902-05-31
2415902|1902-06-01
2415903|1902-06-02
2415904|1902-06-03
2415905|1902-06-04
2415906|1902-06-05
2415907|1902-06-06
2415908|1902-06-07
2415909|1902-06-08
2415910|1902-06-09
2415911|1902-06-10
2415912|1902-06-11
2415913|1902-06-12
2415914|1902-06-13
2415915|1902-06-14
2415916|1902-06-15
2415917|1902-06-16
2415918|1902-06-17
2415919|1902-06-18
2415920|1902-06-19
2415921|1902-06-20
2415922|1902-06-21
2415923|1902-06-22
2415924|1902-06-23
2415925|1902-06-24
2415926|1902-06-25
2415927|1902-06-26
2415928|1902-06-27
2415929|1902-06-28
2415930|1902-06-29
2415931|1902-06-30
2415932|1902-07-01
2415933|1902-07-02
2415934|1902-07-03
2415935|1902-07-04
2415936|1902-07-05
2415937|1902-07-06
2415938|1902-07-07
2415939|1902-07-08
2415940|1902-07-09
2415941|1902-07-10
2415942|1902-07-11
2415943|1902-07-12
2415944|1902-07-13
2415945|1902-07-14
2415946|1902-07-15
2415947|1902-07-16
2415948|1902-07-17
2415949|1902-07-18
2415950|1902-07-19
2415951|1902-07-20
2415952|1902-07-21
2415953|1902-07-22
2415954|1902-07-23
2415955|1902-07-24
2415956|1902-07-25
2415957|1902-07-26
2415958|1902-07-27
2415959|1902-07-28
2415960|1902-07-29
2415961|1902-07-30
2415962|1902-07-31
2415963|1902-08-01
2415964|1902-08-02
2415965|1902-08-03
2415966|1902-08-04
2415967|1902-08-05
2415968|1902-08-06
2415969|1902-08-07
2415970|1902-08-08
2415971|1902-08-09
2415972|1902-08-10
2415973|1902-08-11
2415974|1902-08-12
2415975|1902-08-13
2415976|1902-08-14
2415977|1902-08-15
2415978|1902-08-16
2415979|1902-08-17
2415980|1902-08-18
2415981|1902-08-19
2415982|1902-08-20
2415983|1902-08-21
2415984|1902-08-22
2415985|1902-08-23
2415986|1902-08-24
2415987|1902-08-25
2415988|1902-08-26
2415989|1902-08-27
2415990|1902-08-28
2415991|1902-08-29
2415992|1902-08-30
2415993|1902-08-31
2415994|1902-09-01
2415995|1902-09-02
2415996|1902-09-03
2415997|1902-09-04
2415998|1902-09-05
2415999|1902-09-06
2416000|1902-09-07
2416001|1902-09-08
2416002|1902-09-09
2416003|1902-09-10
2416004|1902-09-11
2416005|1902-09-12
2416006|1902-09-13
2416007|1902-09-14
2416008|1902-09-15
2416009|1902-09-16
2416010|1902-09-17
2416011|1902-09-18
2416012|1902-09-19
2416013|1902-09-20
2416014|1902-09-21
2416015|1902-09-22
2416016|1902-09-23
2416017|1902-09-24
2416018|1902-09-25
2416019|1902-09-26
2416020|1902-09-27
2416021|1902-09-28
2416022|1902-09-29
2416023|1902-09-30
2416024|1902-10-01
2416025|1902-10-02
2416026|1902-10-03
2416027|1902-10-04
2416028|1902-10-05
2416029|1902-10-06
2416030|1902-10-07
2416031|1902-10-08
2416032|1902-10-09
2416033|1902-10-10
2416034|1902-10-11
2416035|1902-10-12
2416036|1902-10-13
2416037|1902-10-14
2416038|1902-10-15
2416039|1902-10-16
2416040|1902-10-17
2416041|1902-10-18
2416042|1902-10-19
2416043|1902-10-20
2416044|1902-10-21
2416045|1902-10-22
2416046|1902-10-23
2416047|1902-10-24
2416048|1902-10-25
2416049|1902-10-26
2416050|1902-10-27
2416051|1902-10-28
2416052|1902-10-29
2416053|1902-10-30
2416054|1902-10-31
2416055|1902-11-01
2416056|1902-11-02
2416057|1902-11-03
2416058|1902-11-04
2416059|1902-11-05
2416060|1902-11-06
2416061|1902-11-07
2416062|1902-11-08
2416063|1902-11-09
2416064|1902-11-10
2416065|1902-11-11
2416066|1902-11-12
2416067|1902-11-13
2416068|1902-11-14
2416069|1902-11-15
2416070|1902-11-16
2416071|1902-11-17
2416072|1902-11-18
2416073|1902-11-19
2416074|1902-11-20
2416075|1902-11-21
2416076|1902-11-22
2416077|1902-11-23
2416078|1902-11-24
2416079|1902-11-25
2416080|1902-11-26
2416081|1902-11-27
2416082|1902-11-28
2416083|1902-11-29
2416084|1902-11-30
2416085|1902-12-01
2416086|1902-12-02
2416087|1902-12-03
2416088|1902-12-04
2416089|1902-12-05
2416090|1902-12-06
2416091|1902-12-07
2416092|1902-12-08
2416093|1902-12-09
2416094|1902-12-10
2416095|1902-12-11
2416096|1902-12-12
2416097|1902-12-13
2416098|1902-12-14
2416099|1902-12-15
2416100|1902-12-16
2416101|1902-12-17
2416102|1902-12-18
2416103|1902-12-19
2416104|1902-12-20
2416105|1902-12-21
2416106|1902-12-22
2416107|1902-12-23
2416108|1902-12-24
2416109|1902-12-25
2416110|1902-12-26
2416111|1902-12-27
2416112|1902-12-28
2416113|1902-12-29
2416114|1902-12-30
2416115|1902-12-31
2416116|1903-01-01
2416117|1903-01-02
2416118|1903-01-03
2416119|1903-01-04
2416120|1903-01-05
2416121|1903-01-06
2416122|1903-01-07
2416123|1903-01-08
2416124|1903-01-09
2416125|1903-01-10
2416126|1903-01-11
2416127|1903-01-12
2416128|1903-01-13
2416129|1903-01-14
2416130|1903-01-15
2416131|1903-01-16
2416132|1903-01-17
2416133|1903-01-18
2416134|1903-01-19
2416135|1903-01-20
2416136|1903-01-21
2416137|1903-01-22
2416138|1903-01-23
2416139|1903-01-24
2416140|1903-01-25
2416141|1903-01-26
2416142|1903-01-27
2416143|1903-01-28
2416144|1903-01-29
2416145|1903-01-30
2416146|1903-01-31
2416147|1903-02-01
2416148|1903-02-02
2416149|1903-02-03
2416150|1903-02-04
2416151|1903-02-05
2416152|1903-02-06
2416153|1903-02-07
2416154|1903-02-08
2416155|1903-02-09
2416156|1903-02-10
2416157|1903-02-11
2416158|1903-02-12
2416159|1903-02-13
2416160|1903-02-14
2416161|1903-02-15
2416162|1903-02-16
2416163|1903-02-17
2416164|1903-02-18
2416165|1903-02-19
2416166|1903-02-20
2416167|1903-02-21
2416168|1903-02-22
2416169|1903-02-23
2416170|1903-02-24
2416171|1903-02-25
2416172|1903-02-26
2416173|1903-02-27
2416174|1903-02-28
2416175|1903-03-01
2416176|1903-03-02
2416177|1903-03-03
2416178|1903-03-04
2416179|1903-03-05
2416180|1903-03-06
2416181|1903-03-07
2416182|1903-03-08
2416183|1903-03-09
2416184|1903-03-10
2416185|1903-03-11
2416186|1903-03-12
2416187|1903-03-13
2416188|1903-03-14
2416189|1903-03-15
2416190|1903-03-16
2416191|1903-03-17
2416192|1903-03-18
2416193|1903-03-19
2416194|1903-03-20
2416195|1903-03-21
2416196|1903-03-22
2416197|1903-03-23
2416198|1903-03-24
2416199|1903-03-25
2416200|1903-03-26
2416201|1903-03-27
2416202|1903-03-28
2416203|1903-03-29
2416204|1903-03-30
2416205|1903-03-31
2416206|1903-04-01
2416207|1903-04-02
2416208|1903-04-03
2416209|1903-04-04
2416210|1903-04-05
2416211|1903-04-06
2416212|1903-04-07
2416213|1903-04-08
2416214|1903-04-09
2416215|1903-04-10
2416216|1903-04-11
2416217|1903-04-12
2416218|1903-04-13
2416219|1903-04-14
2416220|1903-04-15
2416221|1903-04-16
2416222|1903-04-17
2416223|1903-04-18
2416224|1903-04-19
2416225|1903-04-20
2416226|1903-04-21
2416227|1903-04-22
2416228|1903-04-23
2416229|1903-04-24
2416230|1903-04-25
2416231|1903-04-26
2416232|1903-04-27
2416233|1903-04-28
2416234|1903-04-29
2416235|1903-04-30
2416236|1903-05-01
2416237|1903-05-02
2416238|1903-05-03
2416239|1903-05-04
2416240|1903-05-05
2416241|1903-05-06
2416242|1903-05-07
2416243|1903-05-08
2416244|1903-05-09
2416245|1903-05-10
2416246|1903-05-11
2416247|1903-05-12
2416248|1903-05-13
2416249|1903-05-14
2416250|1903-05-15
2416251|1903-05-16
2416252|1903-05-17
2416253|1903-05-18
2416254|1903-05-19
2416255|1903-05-20
2416256|1903-05-21
2416257|1903-05-22
2416258|1903-05-23
2416259|1903-05-24
2416260|1903-05-25
2416261|1903-05-26
2416262|1903-05-27
2416263|1903-05-28
2416264|1903-05-29
2416265|1903-05-30
2416266|1903-05-31
2416267|1903-06-01
2416268|1903-06-02
2416269|1903-06-03
2416270|1903-06-04
2416271|1903-06-05
2416272|1903-06-06
2416273|1903-06-07
2416274|1903-06-08
2416275|1903-06-09
2416276|1903-06-10
2416277|1903-06-11
2416278|1903-06-12
2416279|1903-06-13
2416280|1903-06-14
2416281|1903-06-15
2416282|1903-06-16
2416283|1903-06-17
2416284|1903-06-18
2416285|1903-06-19
2416286|1903-06-20
2416287|1903-06-21
2416288|1903-06-22
2416289|1903-06-23
2416290|1903-06-24
2416291|1903-06-25
